#{"t_start": 1764679826.621898, "env_id": "None"}
r,l,t
-20.65532,13,161.131914
-21.509267,14,161.269219
-11.077126,20,161.567287
-3.676227,20,161.830723
-33.517542,9,162.005227
-10.034089,17,162.220226
-15.159184,16,162.441162
-32.856194,9,162.585004
-13.698903,17,162.812982
45.079052,33,163.130107
-15.634665,16,163.410607
-34.894977,8,163.527852
-3.605885,21,163.732675
-26.147427,11,163.882788
16.137208,28,164.119472
-33.173095,8,164.260003
-25.862205,12,164.478239
-28.049175,11,164.627437
-14.38081,16,164.907515
30.399101,31,165.320826
-31.778325,9,165.448109
-29.26829,11,165.628396
-16.619259,17,165.933369
-19.615042,15,166.194032
-27.114428,12,166.399902
-35.587937,7,166.529677
-29.828573,9,166.655348
-38.878799,6,166.815033
-27.54927,11,166.943659
-35.888275,8,167.110523
-43.146904,4,167.282095
-38.923122,6,167.415745
-1.035654,19,167.565831
-39.135655,6,167.692526
47.363984,35,168.055963
-31.513375,10,168.267364
-40.857965,5,168.412268
-30.577076,9,168.562421
-38.75018,6,168.699674
-31.85154,10,168.818981
-30.554809,9,168.980192
11.891351,26,169.378723
-23.349791,14,169.591797
17.516618,27,169.930515
-25.72402,11,170.058926
-27.722612,11,170.276538
-19.769672,14,170.457235
7.966577,22,170.730015
-23.806683,13,170.965064
3.686377,23,171.347684
-3.966112,19,171.561237
-21.657506,13,171.732964
-26.583173,11,171.937437
-37.999715,7,172.112902
7.061336,25,172.33349
-36.071336,7,172.497601
-24.586147,12,172.722181
-33.175092,9,172.839535
-35.106914,8,173.003537
-30.161775,10,173.140775
-30.399488,11,173.304462
-1.648223,24,173.576304
-37.85994,6,173.714088
-19.521389,14,173.939871
-2.902122,20,174.274707
-21.701222,12,174.412198
-20.903786,14,174.570087
-18.597101,13,174.709272
-11.22418,18,174.950838
-30.048444,9,175.100906
-35.81244,7,175.285775
-9.819764,17,175.495385
-32.136057,9,175.628034
-24.319468,13,175.881781
-36.817181,7,176.059934
-11.587366,18,176.224605
-15.44721,15,176.369889
-41.141674,5,176.477481
67.944646,37,176.945086
-28.129409,12,177.094674
-36.13842,7,177.237493
-39.388752,6,177.399431
-32.742994,8,177.557415
-21.492607,13,177.820056
15.749841,26,178.000882
-27.413185,11,178.197497
-27.232602,11,178.322767
29.276466,34,178.724463
-24.022396,13,178.951806
-20.747502,14,179.167896
-30.363402,10,179.308458
-13.712959,16,179.573123
-1.753828,19,179.731137
-26.167528,11,179.855408
-20.016051,13,179.997114
-17.540392,15,180.224741
-3.25712,20,180.406655
-37.5129,7,180.55259
41.890222,45,180.915032
-30.813315,9,181.034628
13.595054,27,181.361538
9.579737,25,181.629391
-31.659918,9,181.799144
-13.184951,18,182.014569
-26.241691,10,182.181895
-37.583505,7,182.366111
-21.794855,12,182.523882
-33.035186,9,182.658108
-14.458235,17,182.928102
-0.105037,22,183.177773
-25.44699,11,183.319217
3.596553,23,183.568753
-3.615747,18,183.845211
-43.320653,4,183.982142
-25.025264,12,184.125104
16.588093,29,184.402264
-33.040125,9,184.589326
14.67037,28,185.155943
-31.885826,9,185.31773
-21.521285,14,185.450972
-40.706037,5,185.557602
-22.561356,14,185.691571
-24.266014,12,185.846571
-36.869006,7,186.005097
-27.255451,12,186.210213
-30.814994,10,186.352037
-34.775076,8,186.495553
-32.921925,9,186.704324
-28.434456,11,186.846568
-41.413935,5,186.976574
-28.414412,11,187.138332
-20.321293,16,187.363662
-34.539765,8,187.556324
-5.368109,18,187.788062
-23.907556,12,187.923162
-24.844237,13,188.146374
-28.780932,11,188.293523
10.933319,30,188.512126
-39.086558,6,188.672082
-32.518799,9,188.831496
-15.383421,14,189.043707
-30.564773,10,189.210654
-36.216529,7,189.378737
-36.856603,7,189.553432
-40.192235,5,189.710437
6.571077,23,189.943852
3.01883,23,190.205956
-32.485456,9,190.380154
-29.077826,9,190.49326
23.954717,29,190.907666
-23.057164,13,191.216789
-11.678285,18,191.446539
-27.71418,10,191.631466
-31.091895,10,191.851161
-40.714452,5,191.978736
-36.31807,7,192.110565
-39.068882,6,192.224934
-33.662903,9,192.434771
-35.470332,8,192.559716
-23.639009,11,192.75582
21.580397,33,193.035042
-17.782028,14,193.168177
-26.912485,10,193.349372
2.142377,23,193.587271
-33.091502,9,193.790123
-14.842653,15,194.068453
-40.845807,5,194.211477
-16.962856,15,194.450519
61.830804,46,194.791292
-31.933795,9,194.958679
-35.523613,8,195.095067
-11.916714,18,195.269288
-3.050161,20,195.585348
-27.80343,11,195.778417
-39.733062,6,195.896693
-20.083857,15,196.169558
-0.883814,22,196.466726
-39.116329,6,196.573259
1.538254,22,196.88113
-27.279751,11,197.104934
-37.070983,7,197.238544
-13.815904,16,197.496687
-22.585678,13,197.683499
-24.712481,14,197.878466
-31.345385,9,198.045109
-30.606997,9,198.227566
-25.976981,12,198.372146
-20.819744,15,198.652519
-33.61417,8,198.810986
-26.185788,13,199.042656
6.450767,27,199.361485
8.274959,28,199.752926
-29.607553,10,199.968043
-26.523596,11,200.157078
-6.372922,19,200.470844
-31.097697,9,200.676976
-24.3451,13,200.904271
-9.777316,17,201.049113
-27.245396,10,201.325454
-38.768195,6,201.500958
-3.526314,20,201.812934
-15.34664,16,202.079979
-27.188982,11,202.219765
44.200526,33,202.465306
-40.747256,5,202.584929
-14.725522,15,202.814729
-27.757413,11,203.036419
-29.219283,11,203.218078
-29.313836,10,203.425778
17.213878,27,203.842657
-34.825877,7,204.031058
-2.699316,20,204.189692
-18.480221,14,204.473858
-34.435055,8,204.665623
-42.627285,4,204.781681
-35.515778,8,204.957049
26.711347,28,205.243428
-11.788233,17,205.404689
-37.533837,7,205.588917
-17.970355,14,205.841048
-38.582715,6,205.990521
-6.256795,21,206.147966
27.808733,29,206.540044
-16.198799,15,206.820593
-35.46721,8,206.965253
-38.673046,6,207.105962
-34.978193,8,207.282838
15.281913,24,207.632027
-26.528451,11,207.779684
-31.835056,9,207.957247
-25.586801,13,208.089484
-0.719855,21,208.398299
-16.913057,16,208.588803
-14.874368,15,208.786364
-19.810068,13,208.932068
-20.880647,13,209.097397
15.603856,26,209.446015
-37.586555,7,209.583422
-39.709159,6,209.752346
-27.716924,11,209.910613
-22.060996,14,210.040515
-28.575822,11,210.270303
26.013659,31,210.664129
-26.071214,11,210.8704
-34.381339,8,211.010601
-30.54421,10,211.187582
-40.608178,5,211.339966
-8.076967,18,211.703808
-26.269576,11,211.930482
-28.64061,10,212.084845
-29.963322,10,212.202766
-28.597137,9,212.335432
-29.044129,11,212.467182
-6.276542,20,212.647422
-28.912125,11,212.806906
-1.937724,20,212.989073
-24.865322,12,213.163345
-33.791544,9,213.331286
-34.410859,8,213.501699
135.243837,68,214.027903
-29.762129,11,214.169406
-35.972254,7,214.329821
-1.369433,21,214.685988
-25.955123,11,214.905939
-34.364661,8,215.026316
-4.865278,18,215.206332
-27.774204,11,215.374736
1.08247,23,215.815238
-11.062987,17,216.090834
-32.808303,9,216.233633
